Jumlah_ART,Jumlah_Keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_airminum,cara_peroleh_airminum,sumber_penerangan,daya,bb_masak,fasbab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kambing,sta_art_usaha,desil_susenas
3,1,1,1,81,6,1,2,5,2,3,8,4,1,4,4,1,0,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,400,1,0,0,0,1,0
4,1,1,1,78,3,2,0,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,78,1,0,0,0,0,1
4,1,1,1,70,6,1,2,5,2,3,9,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,105,1,0,0,0,0,1
5,1,1,1,40,3,1,1,5,2,3,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,0,1
2,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1600,1,0,0,0,1,0
4,1,1,1,100,3,1,1,5,2,3,5,4,1,4,2,4,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,100,1,0,0,0,0,0
5,1,1,1,80,3,1,1,5,1,3,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1000,1,0,0,0,0,0
3,1,2,1,40,3,1,2,5,1,2,9,4,1,4,2,4,1,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0
3,1,1,1,54,3,1,2,5,2,2,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,500,1,0,0,0,1,0
4,1,1,1,35,3,1,1,5,1,3,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1000,1,0,0,0,0,0
4,1,1,1,70,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,110,1,0,0,0,0,0
3,1,1,1,31,6,1,2,5,2,2,9,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,62,1,0,0,0,0,0
